NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Sergipe'],0.4289119399955404,['SE'],[28],['Arauá'],[2800407],3023.0,588.0,276.0,312.0,1773.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Piauí' 'Alagoas'],0.37721832425426044,['PI' 'AL'],[22 27],['Batalha'],[2201507 2700706],13422.0,1801.0,868.0,933.0,6120.0,2015.0,337.0,0.0,0.0,0.0,110.0,270.0,['2018']
['Maranhão'],0.280357119010592,['MA'],[21],['Benedito Leite'],[2101806],1246.0,195.0,71.0,124.0,736.0,179.0,0.0,123.0,44.0,79.0,130.0,0.0,['2018']
['Maranhão'],0.3555110795543652,['MA'],[21],['Boa Vista do Gurupi'],[2101970],2740.0,470.0,173.0,297.0,1667.0,459.0,0.0,0.0,0.0,0.0,858.0,0.0,['2018']
['Bahia'],0.35955956933306227,['BA'],[29],['Boninal'],[2904001],3012.0,412.0,61.0,351.0,1782.0,718.0,0.0,0.0,0.0,0.0,1.0,0.0,['2018']
['Sergipe'],0.5177046209969395,['SE'],[28],['Boquim'],[2800670],5681.0,825.0,283.0,542.0,3407.0,805.0,229.0,0.0,0.0,0.0,0.0,136.0,['2018']
['Bahia'],0.3238473297336697,['BA'],[29],['Buerarema'],[2904704],4001.0,494.0,121.0,373.0,2259.0,552.0,59.0,0.0,0.0,0.0,89.0,0.0,['2018']
['Piauí'],0.37938871263789636,['PI'],[22],['Cajueiro da Praia'],[2202083],1944.0,312.0,17.0,295.0,1187.0,253.0,0.0,0.0,0.0,0.0,508.0,71.0,['2018']
['Piauí'],0.3604265914163272,['PI'],[22],['Campinas do Piauí'],[2202109],1892.0,243.0,112.0,131.0,847.0,165.0,0.0,0.0,0.0,0.0,373.0,36.0,['2018']
['Bahia'],0.41509361496489466,['BA'],[29],['Caém'],[2905107],2698.0,455.0,147.0,308.0,1644.0,397.0,0.0,146.0,146.0,0.0,118.0,0.0,['2018']
['Sergipe'],0.5299462045233676,['SE'],[28],['Cristinápolis'],[2801702],4765.0,777.0,153.0,624.0,2946.0,642.0,0.0,153.0,153.0,0.0,266.0,0.0,['2018']
['Paraíba'],0.45401916536946996,['PB'],[25],['Dona Inês'],[2505709],2517.0,401.0,146.0,255.0,1558.0,455.0,0.0,53.0,53.0,0.0,0.0,0.0,['2018']
['Sergipe'],0.47497400855911304,['SE'],[28],['Estância'],[2802106],14201.0,2103.0,980.0,1123.0,8005.0,2059.0,589.0,646.0,646.0,0.0,2473.0,197.0,['2018']
['Sergipe'],0.45769871201770446,['SE'],[28],['Indiaroba'],[2802809],4956.0,713.0,209.0,504.0,3137.0,717.0,0.0,0.0,0.0,0.0,0.0,305.0,['2018']
